Order_ID,Orde_Date,Customer_Name,Profit,Profit_Ratio,Quantity,Sales,Category,Segment,Region,Sub_Category,,,
CA-2011-135405,1/9/2013,Melanie Seite,$10 ,31%,3,$31.00 ,Technology,Consumer,Central,Accessories,,,D
CA-2011-149020,1/10/2013,Anthony Jacobs,$1 ,47%,1,$3.00 ,Office Supplies,Corporate,South,Labels,,,
CA-2011-149020,1/10/2013,Anthony Jacobs,$21 ,41%,1,$52.00 ,Furniture,Corporate,South,Furnishings,,,
CA-2011-130092,1/11/2013,Seth Vernon,$3 ,31%,2,$10.00 ,Furniture,Consumer,East,Furnishings,,,
CA-2011-162775,1/13/2013,Chris Selesnick,$5 ,47%,2,$11.00 ,Office Supplies,Corporate,South,Envelopes,,,
CA-2011-162775,1/13/2013,Chris Selesnick,$25 ,50%,3,$51.00 ,Office Supplies,Corporate,South,Envelopes,,,
CA-2011-162775,1/13/2013,Chris Selesnick,$259 ,40%,6,$647.00 ,Technology,Corporate,South,Accessories,,,
CA-2011-162775,1/13/2013,Chris Selesnick,$3 ,48%,3,$6.00 ,Office Supplies,Corporate,South,Binders,,,
CA-2011-162775,1/13/2013,Chris Selesnick,$34 ,6%,6,$573.00 ,Office Supplies,Corporate,South,Storage,,,
CA-2011-109232,1/13/2013,Natalie Decherney,$87 ,16%,6,$546.00 ,Furniture,Consumer,South,Chairs,,,
CA-2011-157147,1/13/2013,Brian Dahlen,$239 ,18%,5,"$1,326.00 ",Office Supplies,Consumer,West,Storage,,,
CA-2011-157147,1/13/2013,Brian Dahlen,$4 ,1%,3,$334.00 ,Furniture,Consumer,West,Bookcases,,,
CA-2011-157147,1/13/2013,Brian Dahlen,$7 ,33%,5,$20.00 ,Office Supplies,Consumer,West,Art,,,
CA-2011-118192,1/13/2013,Michael Moore,$13 ,35%,7,$37.00 ,Office Supplies,Consumer,East,Paper,,,
CA-2011-118192,1/13/2013,Michael Moore,($3),-73%,2,$3.00 ,Office Supplies,Consumer,East,Binders,,,
CA-2011-149524,1/14/2013,Brendan Sweed,($53),-86%,4,$62.00 ,Furniture,Corporate,East,Bookcases,,,
CA-2011-103366,1/15/2013,Erica Hackney,$66 ,44%,5,$150.00 ,Technology,Consumer,South,Accessories,,,
CA-2011-115791,1/16/2013,Delfina Latchford,$29 ,23%,6,$127.00 ,Furniture,Consumer,East,Furnishings,,,
CA-2011-115791,1/16/2013,Delfina Latchford,($31),-25%,3,$124.00 ,Technology,Consumer,East,Phones,,,
CA-2011-115791,1/16/2013,Delfina Latchford,($14),-73%,2,$19.00 ,Office Supplies,Consumer,East,Binders,,,
CA-2011-115791,1/16/2013,Delfina Latchford,$10 ,34%,3,$30.00 ,Office Supplies,Consumer,East,Labels,,,
CA-2011-123477,1/18/2013,David Wiener,$6 ,10%,4,$65.00 ,Office Supplies,Corporate,West,Appliances,,,
CA-2011-146591,1/19/2013,Toby Swindell,($24),-73%,10,$32.00 ,Office Supplies,Consumer,West,Binders,,,
CA-2011-146591,1/19/2013,Toby Swindell,$20 ,35%,4,$56.00 ,Office Supplies,Consumer,West,Paper,,,
CA-2011-146591,1/19/2013,Toby Swindell,$37 ,34%,5,$109.00 ,Office Supplies,Consumer,West,Envelopes,,,
CA-2011-146591,1/19/2013,Toby Swindell,($321),-177%,5,$181.00 ,Furniture,Consumer,West,Bookcases,,,
US-2011-147627,1/20/2013,Hunter Lopez,$182 ,26%,7,$700.00 ,Technology,Consumer,South,Phones,,,
US-2011-147627,1/20/2013,Hunter Lopez,$7 ,29%,7,$23.00 ,Office Supplies,Consumer,South,Art,,,
US-2011-147627,1/20/2013,Hunter Lopez,$12 ,30%,4,$39.00 ,Furniture,Consumer,South,Furnishings,,,
US-2011-147627,1/20/2013,Hunter Lopez,$2 ,27%,3,$7.00 ,Office Supplies,Consumer,South,Art,,,
US-2011-147627,1/20/2013,Hunter Lopez,$11 ,47%,3,$23.00 ,Office Supplies,Consumer,South,Envelopes,,,
US-2011-147627,1/20/2013,Hunter Lopez,$224 ,21%,3,"$1,068.00 ",Furniture,Consumer,South,Chairs,,,
CA-2011-148614,1/20/2013,Mark Van Huff,$9 ,48%,2,$19.00 ,Office Supplies,Consumer,West,Paper,,,
CA-2011-148614,1/20/2013,Mark Van Huff,$6 ,30%,2,$19.00 ,Furniture,Consumer,West,Furnishings,,,
CA-2011-167927,1/20/2013,Xylona Preis,$4 ,29%,1,$14.00 ,Office Supplies,Consumer,Central,Storage,,,
CA-2011-167927,1/20/2013,Xylona Preis,$30 ,11%,3,$273.00 ,Furniture,Consumer,Central,Furnishings,,,
CA-2011-167927,1/20/2013,Xylona Preis,$9 ,47%,5,$19.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-167927,1/20/2013,Xylona Preis,$94 ,38%,4,$248.00 ,Office Supplies,Consumer,Central,Appliances,,,
CA-2011-167927,1/20/2013,Xylona Preis,$16 ,24%,2,$67.00 ,Office Supplies,Consumer,Central,Storage,,,
CA-2011-167927,1/20/2013,Xylona Preis,$13 ,29%,3,$44.00 ,Office Supplies,Consumer,Central,Art,,,
CA-2011-167927,1/20/2013,Xylona Preis,$5 ,33%,3,$15.00 ,Furniture,Consumer,Central,Furnishings,,,
CA-2011-167927,1/20/2013,Xylona Preis,$13 ,45%,5,$30.00 ,Office Supplies,Consumer,Central,Binders,,,
US-2011-147774,1/20/2013,Muhammed Macintyre,($52),-77%,1,$67.00 ,Office Supplies,Corporate,South,Binders,,,
CA-2011-110422,1/21/2013,Tom Boeckenhauer,$4 ,16%,3,$25.00 ,Furniture,Consumer,South,Furnishings,,,
CA-2011-102645,1/23/2013,Ionia Mcgrath,$19 ,48%,6,$40.00 ,Office Supplies,Consumer,West,Paper,,,
CA-2011-146997,1/23/2013,Speros Goranitis,$0 ,0%,3,$6.00 ,Office Supplies,Consumer,Central,Fasteners,,,
US-2011-155502,1/26/2013,Shirley Daniels,$31 ,49%,3,$63.00 ,Furniture,Home Office,South,Furnishings,,,
US-2011-155502,1/26/2013,Shirley Daniels,$0 ,0%,8,$490.00 ,Office Supplies,Home Office,South,Storage,,,
US-2011-155502,1/26/2013,Shirley Daniels,$9 ,48%,3,$19.00 ,Office Supplies,Home Office,South,Paper,,,
US-2011-155502,1/26/2013,Shirley Daniels,$8 ,50%,2,$17.00 ,Office Supplies,Home Office,South,Paper,,,
US-2011-155502,1/26/2013,Shirley Daniels,$0 ,0%,13,$155.00 ,Technology,Home Office,South,Phones,,,
US-2011-155502,1/26/2013,Shirley Daniels,$4 ,36%,3,$12.00 ,Furniture,Home Office,South,Furnishings,,,
US-2011-155502,1/26/2013,Shirley Daniels,$53 ,28%,2,$188.00 ,Technology,Home Office,South,Phones,,,
CA-2011-167997,1/26/2013,Carol Adams,$5 ,47%,2,$11.00 ,Office Supplies,Corporate,Central,Binders,,,
CA-2011-167997,1/26/2013,Carol Adams,$40 ,28%,2,$142.00 ,Furniture,Corporate,Central,Bookcases,,,
US-2011-117163,1/27/2013,Ed Jacobs,$14 ,25%,1,$57.00 ,Office Supplies,Consumer,West,Storage,,,
US-2011-117163,1/27/2013,Ed Jacobs,($17),-5%,3,$333.00 ,Furniture,Consumer,West,Tables,,,
US-2011-117163,1/27/2013,Ed Jacobs,$12 ,33%,4,$36.00 ,Office Supplies,Consumer,West,Art,,,
CA-2011-100328,1/28/2013,Jasper Cacioppo,$1 ,34%,1,$4.00 ,Office Supplies,Consumer,East,Binders,,,
CA-2011-134103,1/30/2013,Mike Vittorini,$5 ,45%,2,$11.00 ,Office Supplies,Consumer,Central,Paper,,,
CA-2011-134103,1/30/2013,Mike Vittorini,$7 ,3%,2,$230.00 ,Office Supplies,Consumer,Central,Storage,,,
CA-2011-115161,1/31/2013,Liz Carlisle,$3 ,1%,2,$291.00 ,Furniture,Consumer,West,Bookcases,,,
CA-2011-140795,2/1/2013,Bradley Drucker,$206 ,44%,6,$469.00 ,Technology,Consumer,Central,Accessories,,,
CA-2011-139857,2/2/2013,Cynthia Delaney,$6 ,47%,5,$12.00 ,Office Supplies,Home Office,West,Fasteners,,,
CA-2011-123400,2/2/2013,Eric Barreto,($12),-67%,2,$18.00 ,Office Supplies,Consumer,South,Binders,,,
CA-2011-123400,2/2/2013,Eric Barreto,$14 ,8%,5,$181.00 ,Technology,Consumer,South,Phones,,,
CA-2011-111059,2/3/2013,Tom Boeckenhauer,$27 ,33%,2,$84.00 ,Office Supplies,Consumer,West,Binders,,,
CA-2011-111059,2/3/2013,Tom Boeckenhauer,$4 ,33%,3,$13.00 ,Office Supplies,Consumer,West,Binders,,,
CA-2011-107181,2/4/2013,Deborah Brumfield,$29 ,35%,3,$83.00 ,Office Supplies,Home Office,West,Binders,,,
CA-2011-107181,2/4/2013,Deborah Brumfield,$16 ,47%,4,$34.00 ,Office Supplies,Home Office,West,Paper,,,
CA-2011-104808,2/4/2013,Mark Haberlin,$6 ,35%,2,$17.00 ,Office Supplies,Corporate,West,Binders,,,
CA-2011-131905,2/6/2013,Neil Ducich,$7 ,48%,4,$15.00 ,Office Supplies,Corporate,South,Labels,,,
CA-2011-131905,2/6/2013,Neil Ducich,$42 ,26%,1,$162.00 ,Technology,Corporate,South,Phones,,,
CA-2011-131905,2/6/2013,Neil Ducich,$42 ,29%,5,$145.00 ,Technology,Corporate,South,Phones,,,
CA-2011-108182,2/6/2013,Delfina Latchford,($15),-165%,2,$9.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-107755,2/7/2013,Cyma Kinney,$50 ,43%,7,$115.00 ,Technology,Corporate,East,Accessories,,,
US-2011-169390,2/7/2013,Chris Selesnick,$10 ,15%,4,$65.00 ,Office Supplies,Corporate,East,Storage,,,
CA-2011-125759,2/8/2013,Nathan Mautz,$6 ,38%,2,$15.00 ,Furniture,Home Office,West,Furnishings,,,
CA-2011-127614,2/11/2013,Natalie Fritzler,$103 ,44%,3,$234.00 ,Technology,Consumer,South,Accessories,,,
CA-2011-127614,2/11/2013,Natalie Fritzler,$75 ,6%,6,"$1,256.00 ",Furniture,Consumer,South,Tables,,,
CA-2011-127614,2/11/2013,Natalie Fritzler,$8 ,47%,2,$17.00 ,Office Supplies,Consumer,South,Binders,,,
CA-2011-168368,2/11/2013,Guy Armstrong,$15 ,25%,1,$61.00 ,Furniture,Consumer,Central,Chairs,,,
CA-2011-168368,2/11/2013,Guy Armstrong,$7 ,46%,3,$15.00 ,Office Supplies,Consumer,Central,Labels,,,
CA-2011-168368,2/11/2013,Guy Armstrong,$4 ,46%,2,$10.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-168368,2/11/2013,Guy Armstrong,$53 ,16%,3,$333.00 ,Furniture,Consumer,Central,Furnishings,,,
CA-2011-168368,2/11/2013,Guy Armstrong,$24 ,47%,3,$52.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-168368,2/11/2013,Guy Armstrong,$3 ,4%,2,$65.00 ,Office Supplies,Consumer,Central,Storage,,,
US-2011-110674,2/12/2013,Sanjit Chand,($24),-19%,2,$130.00 ,Furniture,Consumer,West,Chairs,,,
CA-2011-107706,2/14/2013,Shui Tom,$6 ,38%,3,$16.00 ,Office Supplies,Consumer,Central,Paper,,,
CA-2011-121762,2/14/2013,Marina Lichtenstein,$86 ,36%,3,$240.00 ,Technology,Corporate,West,Accessories,,,
CA-2011-121762,2/14/2013,Marina Lichtenstein,$23 ,28%,2,$82.00 ,Office Supplies,Corporate,West,Appliances,,,
CA-2011-121762,2/14/2013,Marina Lichtenstein,$5 ,2%,2,$239.00 ,Office Supplies,Corporate,West,Supplies,,,
CA-2011-165568,2/15/2013,Barry Französisch,$7 ,34%,5,$21.00 ,Office Supplies,Corporate,West,Binders,,,
CA-2011-122567,2/16/2013,Michael Nguyen,($2),-160%,3,$1.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-122567,2/16/2013,Michael Nguyen,($14),-175%,2,$8.00 ,Office Supplies,Consumer,Central,Appliances,,,
CA-2011-154165,2/17/2013,Delfina Latchford,$9 ,16%,14,$54.00 ,Office Supplies,Consumer,Central,Art,,,
US-2011-165589,2/18/2013,Troy Blackwell,($11),-45%,5,$25.00 ,Furniture,Consumer,Central,Furnishings,,,
CA-2011-152905,2/18/2013,Aaron Bergman,($3),-20%,2,$13.00 ,Office Supplies,Consumer,Central,Storage,,,
CA-2011-109491,2/20/2013,Linda Cazamias,$22 ,36%,3,$62.00 ,Technology,Corporate,Central,Accessories,,,
CA-2011-109491,2/20/2013,Linda Cazamias,$7 ,34%,4,$20.00 ,Furniture,Corporate,Central,Furnishings,,,
CA-2011-164903,2/20/2013,Steven Roelle,$6 ,48%,2,$13.00 ,Office Supplies,Home Office,West,Paper,,,
CA-2011-165540,2/21/2013,Tamara Manning,($14),-155%,5,$9.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-133354,2/22/2013,Sue Ann Reed,$9 ,48%,3,$19.00 ,Office Supplies,Consumer,West,Paper,,,
CA-2011-103744,2/23/2013,Michael Grace,$2 ,34%,3,$7.00 ,Office Supplies,Home Office,Central,Labels,,,
CA-2011-103744,2/23/2013,Michael Grace,($7),-155%,3,$4.00 ,Office Supplies,Home Office,Central,Binders,,,
US-2011-137680,2/24/2013,Jennifer Halladay,$11 ,34%,4,$33.00 ,Office Supplies,Consumer,West,Paper,,,
US-2011-137680,2/24/2013,Jennifer Halladay,$8 ,34%,3,$23.00 ,Office Supplies,Consumer,West,Paper,,,
CA-2011-156545,2/27/2013,Joy Smith,$3 ,18%,4,$19.00 ,Office Supplies,Consumer,East,Art,,,
CA-2011-104269,3/1/2013,Dave Brooks,$51 ,11%,2,$458.00 ,Furniture,Consumer,West,Chairs,,,
US-2011-143707,3/1/2013,Hallie Redmond,$2 ,27%,3,$6.00 ,Technology,Home Office,East,Phones,,,
CA-2011-113880,3/1/2013,Vicky Freymann,($172),-27%,6,$634.00 ,Furniture,Home Office,Central,Chairs,,,
CA-2011-113880,3/1/2013,Vicky Freymann,$6 ,33%,3,$17.00 ,Office Supplies,Home Office,Central,Paper,,,
CA-2011-131009,3/1/2013,Shahid Collister,($4),-19%,5,$19.00 ,Office Supplies,Consumer,Central,Fasteners,,,
CA-2011-131009,3/1/2013,Shahid Collister,$0 ,0%,6,$362.00 ,Furniture,Consumer,Central,Chairs,,,
CA-2011-131009,3/1/2013,Shahid Collister,($35),-55%,6,$64.00 ,Furniture,Consumer,Central,Furnishings,,,
CA-2011-131009,3/1/2013,Shahid Collister,($23),-18%,3,$130.00 ,Office Supplies,Consumer,Central,Storage,,,
CA-2011-168312,3/1/2013,Giulietta Weimer,$9 ,6%,3,$137.00 ,Office Supplies,Consumer,Central,Storage,,,
CA-2011-168312,3/1/2013,Giulietta Weimer,($43),-11%,3,$377.00 ,Furniture,Consumer,Central,Tables,,,
CA-2011-107524,3/2/2013,Kristina Nunn,$5 ,47%,2,$11.00 ,Office Supplies,Home Office,East,Envelopes,,,
CA-2011-107524,3/2/2013,Kristina Nunn,$17 ,48%,5,$36.00 ,Office Supplies,Home Office,East,Paper,,,
CA-2011-111157,3/2/2013,Nicole Hansen,$1 ,31%,1,$3.00 ,Office Supplies,Corporate,East,Paper,,,
CA-2011-111157,3/2/2013,Nicole Hansen,$32 ,21%,3,$151.00 ,Technology,Corporate,East,Accessories,,,
CA-2011-155852,3/3/2013,Ashley Jarboe,$3 ,18%,4,$19.00 ,Office Supplies,Consumer,South,Art,,,
CA-2011-127964,3/3/2013,Anne Pryor,$5 ,46%,1,$10.00 ,Technology,Home Office,East,Phones,,,
CA-2011-127964,3/3/2013,Anne Pryor,$41 ,33%,3,$126.00 ,Office Supplies,Home Office,East,Binders,,,
CA-2011-127964,3/3/2013,Anne Pryor,$9 ,36%,5,$25.00 ,Office Supplies,Home Office,East,Binders,,,
US-2011-127978,3/3/2013,Jill Stevenson,$5 ,33%,3,$15.00 ,Office Supplies,Corporate,East,Labels,,,
US-2011-127978,3/3/2013,Jill Stevenson,($200),-66%,5,$302.00 ,Furniture,Corporate,East,Bookcases,,,
US-2011-127978,3/3/2013,Jill Stevenson,($10),-23%,8,$45.00 ,Office Supplies,Corporate,East,Storage,,,
CA-2011-130421,3/3/2013,Sam Craven,($460),-260%,3,$177.00 ,Office Supplies,Consumer,Central,Appliances,,,
CA-2011-105648,3/3/2013,Eva Jacobs,($23),-4%,3,$626.00 ,Furniture,Consumer,West,Tables,,,
CA-2011-116239,3/4/2013,Clay Ludtke,$18 ,5%,5,$355.00 ,Office Supplies,Consumer,South,Storage,,,
CA-2011-117016,3/4/2013,Sanjit Chand,$2 ,15%,3,$16.00 ,Office Supplies,Consumer,South,Art,,,
CA-2011-169061,3/5/2013,Aimee Bixby,$15 ,26%,3,$60.00 ,Office Supplies,Consumer,East,Art,,,
CA-2011-169061,3/5/2013,Aimee Bixby,$178 ,37%,3,$480.00 ,Technology,Consumer,East,Accessories,,,
CA-2011-169061,3/5/2013,Aimee Bixby,$5 ,29%,2,$19.00 ,Office Supplies,Consumer,East,Supplies,,,
CA-2011-169061,3/5/2013,Aimee Bixby,$17 ,34%,6,$50.00 ,Office Supplies,Consumer,East,Binders,,,
CA-2011-169061,3/5/2013,Aimee Bixby,$46 ,47%,2,$98.00 ,Office Supplies,Consumer,East,Paper,,,
CA-2011-156587,3/7/2013,Aaron Bergman,$5 ,11%,1,$49.00 ,Furniture,Consumer,West,Chairs,,,
CA-2011-156587,3/7/2013,Aaron Bergman,$5 ,26%,3,$18.00 ,Office Supplies,Consumer,West,Art,,,
CA-2011-156587,3/7/2013,Aaron Bergman,$5 ,2%,3,$243.00 ,Office Supplies,Consumer,West,Storage,,,
US-2011-131982,3/7/2013,Nora Pelletier,$34 ,31%,2,$108.00 ,Office Supplies,Home Office,West,Binders,,,
CA-2011-104563,3/7/2013,Craig Molinari,$9 ,46%,5,$21.00 ,Office Supplies,Corporate,West,Art,,,
CA-2011-104563,3/7/2013,Craig Molinari,$0 ,0%,5,$205.00 ,Office Supplies,Corporate,West,Storage,,,
CA-2011-104563,3/7/2013,Craig Molinari,$22 ,5%,6,$437.00 ,Furniture,Corporate,West,Chairs,,,
CA-2011-104563,3/7/2013,Craig Molinari,$54 ,11%,2,$482.00 ,Furniture,Corporate,West,Chairs,,,
US-2011-100279,3/10/2013,Scott Williamson,$11 ,48%,2,$22.00 ,Office Supplies,Consumer,Central,Paper,,,
US-2011-140116,3/10/2013,Kean Thornton,($16),-3%,3,$636.00 ,Office Supplies,Consumer,West,Storage,,,
US-2011-140116,3/10/2013,Kean Thornton,$9 ,11%,4,$83.00 ,Office Supplies,Consumer,West,Art,,,
CA-2011-166884,3/11/2013,Chloris Kastensmidt,$2 ,28%,5,$8.00 ,Furniture,Consumer,East,Furnishings,,,
CA-2011-166884,3/11/2013,Chloris Kastensmidt,$2 ,16%,6,$10.00 ,Office Supplies,Consumer,East,Fasteners,,,
CA-2011-158337,3/11/2013,Kelly Andreada,$49 ,45%,14,$109.00 ,Office Supplies,Consumer,East,Paper,,,
CA-2011-114790,3/11/2013,Filia Mcadams,$38 ,26%,3,$147.00 ,Office Supplies,Corporate,South,Appliances,,,
CA-2011-114790,3/11/2013,Filia Mcadams,$14 ,43%,2,$33.00 ,Technology,Corporate,South,Accessories,,,
CA-2011-114790,3/11/2013,Filia Mcadams,$165 ,28%,3,$588.00 ,Technology,Corporate,South,Phones,,,
CA-2011-114790,3/11/2013,Filia Mcadams,$7 ,47%,3,$15.00 ,Office Supplies,Corporate,South,Paper,,,
US-2011-103338,3/11/2013,Richard Bierner,$2 ,26%,3,$8.00 ,Office Supplies,Consumer,West,Art,,,
CA-2011-157623,3/14/2013,Dean Katz,$5 ,45%,2,$11.00 ,Office Supplies,Corporate,West,Paper,,,
CA-2011-157623,3/14/2013,Dean Katz,$1 ,37%,1,$3.00 ,Office Supplies,Corporate,West,Art,,,
US-2011-125521,3/14/2013,Christine Kargatis,$285 ,25%,4,"$1,140.00 ",Furniture,Home Office,South,Chairs,,,
CA-2011-114510,3/14/2013,Jason Fortune-,$11 ,34%,4,$33.00 ,Office Supplies,Consumer,West,Binders,,,
CA-2011-114510,3/14/2013,Jason Fortune-,$3 ,4%,1,$81.00 ,Office Supplies,Consumer,West,Storage,,,
CA-2011-114510,3/14/2013,Jason Fortune-,$7 ,8%,12,$83.00 ,Technology,Consumer,West,Accessories,,,
CA-2011-114510,3/14/2013,Jason Fortune-,$6 ,27%,2,$21.00 ,Office Supplies,Consumer,West,Storage,,,
CA-2011-114510,3/14/2013,Jason Fortune-,$20 ,33%,2,$62.00 ,Office Supplies,Consumer,West,Binders,,,
CA-2011-152618,3/14/2013,Rick Bensley,$156 ,27%,2,$575.00 ,Technology,Home Office,Central,Machines,,,
CA-2011-152618,3/14/2013,Rick Bensley,$3 ,31%,2,$8.00 ,Office Supplies,Home Office,Central,Paper,,,
CA-2011-100293,3/14/2013,Neil Französisch,$32 ,35%,6,$91.00 ,Office Supplies,Home Office,South,Paper,,,
CA-2011-149958,3/15/2013,Alan Shonely,$18 ,13%,1,$143.00 ,Office Supplies,Consumer,South,Storage,,,
CA-2011-149958,3/15/2013,Alan Shonely,$5 ,11%,3,$46.00 ,Furniture,Consumer,South,Furnishings,,,
CA-2011-149958,3/15/2013,Alan Shonely,($6),-77%,3,$7.00 ,Office Supplies,Consumer,South,Binders,,,
CA-2011-149958,3/15/2013,Alan Shonely,($32),-73%,4,$43.00 ,Office Supplies,Consumer,South,Binders,,,
CA-2011-149958,3/15/2013,Alan Shonely,$48 ,36%,3,$132.00 ,Office Supplies,Consumer,South,Paper,,,
CA-2011-157609,3/16/2013,Kristina Nunn,$29 ,6%,2,$472.00 ,Technology,Home Office,South,Phones,,,
CA-2011-118339,3/17/2013,Bradley Nguyen,$37 ,39%,2,$94.00 ,Office Supplies,Consumer,Central,Appliances,,,
CA-2011-118339,3/17/2013,Bradley Nguyen,$24 ,50%,7,$47.00 ,Office Supplies,Consumer,Central,Paper,,,
CA-2011-118339,3/17/2013,Bradley Nguyen,$6 ,29%,6,$20.00 ,Office Supplies,Consumer,Central,Art,,,
CA-2011-118339,3/17/2013,Bradley Nguyen,$25 ,47%,10,$53.00 ,Office Supplies,Consumer,Central,Binders,,,
CA-2011-118339,3/17/2013,Bradley Nguyen,$17 ,48%,6,$36.00 ,Office Supplies,Consumer,Central,Binders,,,
US-2011-148838,3/17/2013,Christine Phan,($448),-28%,7,"$1,580.00 ",Furniture,Corporate,East,Tables,,,
US-2011-148838,3/17/2013,Christine Phan,($554),-52%,4,"$1,072.00 ",Furniture,Corporate,East,Tables,,,
US-2011-148838,3/17/2013,Christine Phan,($123),-20%,3,$614.00 ,Furniture,Corporate,East,Tables,,,
US-2011-148838,3/17/2013,Christine Phan,$16 ,47%,7,$35.00 ,Office Supplies,Corporate,East,Paper,,,
US-2011-148838,3/17/2013,Christine Phan,$76 ,49%,4,$155.00 ,Office Supplies,Corporate,East,Paper,,,
CA-2011-158442,3/17/2013,Annie Zypern,$0 ,8%,2,$4.00 ,Office Supplies,Consumer,Central,Art,,,
CA-2011-158442,3/17/2013,Annie Zypern,$2 ,36%,1,$5.00 ,Office Supplies,Consumer,Central,Paper,,,
CA-2011-158442,3/17/2013,Annie Zypern,$5 ,35%,3,$16.00 ,Office Supplies,Consumer,Central,Paper,,,
US-2011-164763,3/17/2013,Mark Haberlin,$5 ,47%,3,$11.00 ,Office Supplies,Corporate,South,Binders,,,
US-2011-164763,3/17/2013,Mark Haberlin,$15 ,49%,2,$30.00 ,Office Supplies,Corporate,South,Binders,,,
US-2011-164763,3/17/2013,Mark Haberlin,$6 ,49%,2,$13.00 ,Office Supplies,Corporate,South,Paper,,,
US-2011-164763,3/17/2013,Mark Haberlin,$8 ,48%,4,$16.00 ,Office Supplies,Corporate,South,Paper,,,
US-2011-164763,3/17/2013,Mark Haberlin,$8 ,26%,3,$33.00 ,Office Supplies,Corporate,South,Appliances,,,
CA-2011-127859,3/17/2013,Quincy Jones,$41 ,33%,6,$127.00 ,Office Supplies,Corporate,East,Paper,,,
CA-2011-145317,3/18/2013,Sean Miller,($16),-2%,4,$821.00 ,Technology,Home Office,South,Machines,,,
CA-2011-145317,3/18/2013,Sean Miller,"($1,811)",-8%,6,"$22,638.00 ",Technology,Home Office,South,Machines,,,
CA-2011-145317,3/18/2013,Sean Miller,$7 ,35%,4,$21.00 ,Office Supplies,Home Office,South,Paper,,,
CA-2011-145317,3/18/2013,Sean Miller,$1 ,13%,3,$8.00 ,Office Supplies,Home Office,South,Art,,,
CA-2011-145317,3/18/2013,Sean Miller,$8 ,26%,2,$31.00 ,Furniture,Home Office,South,Furnishings,,,
CA-2011-145317,3/18/2013,Sean Miller,$6 ,31%,3,$19.00 ,Office Supplies,Home Office,South,Fasteners,,,
CA-2011-145317,3/18/2013,Sean Miller,$15 ,13%,3,$122.00 ,Furniture,Home Office,South,Furnishings,,,
CA-2011-111871,3/18/2013,Eileen Kiefer,$70 ,6%,10,"$1,198.00 ",Furniture,Home Office,West,Bookcases,,,
US-2011-131275,3/18/2013,Sample Company A,$14 ,13%,2,$111.00 ,Furniture,Home Office,West,Furnishings,,,
US-2011-131275,3/18/2013,Sample Company A,$416 ,33%,4,"$1,280.00 ",Technology,Home Office,West,Machines,,,
US-2011-131275,3/18/2013,Sample Company A,$334 ,18%,7,"$1,856.00 ",Office Supplies,Home Office,West,Storage,,,
CA-2011-103989,3/19/2013,Matt Connell,$28 ,9%,3,$324.00 ,Technology,Corporate,South,Phones,,,
